province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Basilan,Akbar,Mayor,"Sali, Alih Awal",Alex,Lakas-Kampi,3344
Basilan,Akbar,Vice-Mayor,"Sali, Paisal Awal",Pai,Lakas-Kampi,3263
Basilan,Akbar,Councilor,"Monbo, Jabbal Ibrahim",Baleng,Lakas-Kampi,1411
Basilan,Akbar,Councilor,"Salih, Sappali Masnun",Arwasim,Lakas-Kampi,1611
Basilan,Akbar,Councilor,"Muslimin, Nurie Eloh",Salman,Lakas-Kampi,2154
Basilan,Akbar,Councilor,"Alam, Sali Hakim",Intong,Lakas-Kampi,2543
Basilan,Akbar,Councilor,"Birung, Mohammad Abdulla",Mhadz,Lakas-Kampi,2607
Basilan,Akbar,Councilor,"Hakimin, Bassam Atalon",Sam,Lakas-Kampi,2671
Basilan,Akbar,Councilor,"Antih, Gamal Hirayat",Gamz,Lakas-Kampi,2679
Basilan,Akbar,Councilor,"Sali, Imraki Samputoh",Kotoy,Lakas-Kampi,2979
Basilan,Hadji Mohammad Ajul,Mayor,"Pawaki, Talib Garingan",Thals,Lakas-Kampi,7288
Basilan,Hadji Mohammad Ajul,Vice-Mayor,"Saluwan, Abdulsuhud Parajan",Big Boy,Lakas-Kampi,5520
Basilan,Hadji Mohammad Ajul,Councilor,"Adam, Alih Asali",Alex,Lakas-Kampi,4148
Basilan,Hadji Mohammad Ajul,Councilor,"Lamla, Maimuna Sali",May,Nacionalista Party,4637
Basilan,Hadji Mohammad Ajul,Councilor,"Sahim, Harkin Sabdani",Boy,Independent,4726
Basilan,Hadji Mohammad Ajul,Councilor,"Sali, Samir Anjalin",Samir,Lakas-Kampi,4945
Basilan,Hadji Mohammad Ajul,Councilor,"Undaring, Majid Aman",Michael,Lakas-Kampi,5036
Basilan,Hadji Mohammad Ajul,Councilor,"Camlian, Basit Jalilul",King,Independent,5314
Basilan,Hadji Mohammad Ajul,Councilor,"Muntasil, Nur-amin Narimin",Ponsong,Lakas-Kampi,5619
Basilan,Hadji Mohammad Ajul,Councilor,"Alano, Muruwa Pawaki",Lady Ariane,Lakas-Kampi,6751
Basilan,Hadji Muhtamad,Mayor,"Abdulmajid, Anwar Muhtamad",Tutuh,Lakas-Kampi,2239
Basilan,Hadji Muhtamad,Vice-Mayor,"Ascali, Isara Mansul",Yang,Independent,2137
Basilan,Hadji Muhtamad,Councilor,"Allama, Abdulmaser Jamil",Masing,Lakas-Kampi,1536
Basilan,Hadji Muhtamad,Councilor,"Wahab, Alano Hasim",Alano,Independent,1544
Basilan,Hadji Muhtamad,Councilor,"Julkipli, Puraida Indanan",Puray,Independent,1580
Basilan,Hadji Muhtamad,Councilor,"Mohammad, Mufti Ascali",Mega,Puwersa ng Masang Pilipino,1654
