province,city_or_municipality,position,name,nikname,votes_obtained
Batanes,Itbayat,Councilor,"De Sagon, Sabas Castillo",Sabas,494
Abra,Daguioman,Councilor,"Baula, Diana Daipan",John,497
Abra,Malibcong,Councilor,"Dagwat, Crispin Malaggay",Ippin Wating,503
Ilocos Norte,Carasi,Councilor,"Julian, Nestor Simon",Nestor,503
Ilocos Norte,Dumalneg,Councilor,"Balalio, Pablo Ubasa",Pablo,503
Abra,Malibcong,Councilor,"Molina, Carmelo Sr. Bonglas",Milo,506
Batanes,Mahatao,Councilor,"Raterta, Roger Fainza",Roger,506
Abra,Malibcong,Councilor,"Labbagan, Gibson Danao",Mayong,517
Abra,Daguioman,Mayor,"Co Kue, Sally Quibayen",Solaya,519
Abra,Daguioman,Councilor,"Wacal, Ramsey Luis",Lamsit,520
Abra,Daguioman,Vice-Mayor,"Balcanao, David Languia",Deave,521
Abra,Malibcong,Councilor,"Calvario, Lucia Manangdao",Losing,525
Ilocos Norte,Dumalneg,Councilor,"Tomas, Faustino Dacuycuy",Inong,530
Ilocos Norte,Carasi,Councilor,"Carte, Mitzi Antonette Masaway",Mitch,533
Batanes,Sabtang,Councilor,"Cervillon, Juliana Alasco",Juling,544
Abra,Daguioman,Councilor,"Gascid, Norman Quibayen",Norkz,546
Abra,Daguioman,Councilor,"Bag-Ayan, Oliver Bradley",Omli,549
Ilocos Norte,Dumalneg,Councilor,"Garon, Dennis Julian",Dennis,555
Ilocos Norte,Dumalneg,Vice-Mayor,"Aguinaldo, Odon Magarro",Odon,559
Ilocos Norte,Dumalneg,Councilor,"Agron, Danilo Dacuycuy",Dan,571
Abra,Malibcong,Councilor,"Bagayao, Robert Elvena",Bob,575
Abra,Malibcong,Councilor,"Gayban, Jefferson Gupaal",Jf,576
Abra,Daguioman,Councilor,"Lomioan, Joshua Layugan",Jun-Jun,577
Abra,Bucloc,Councilor,"Calumnag, Pedro Magayam",Illo,578
Batanes,Mahatao,Mayor,"Poncio, Pedro Fainza",Pinding,588
Ilocos Sur,Sugpon,Mayor,"Amoyen, Guillermo Saeden",Immong,590
Ilocos Sur,Sugpon,Councilor,"Baguioen, Jonathan Castro",Natan,593
Abra,Malibcong,Councilor,"Bayudang, Antonio Lomioan",Tony,595
