province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Basilan,Lantawan,Mayor,"Ismael, Rustam Muhtamad",Ruth,Liberal Party,6277
Basilan,Lantawan,Vice-Mayor,"Utoh, Gani Abdulgani",Gans,United Nationalist Alliance,5866
Basilan,Lantawan,Councilor,"Ajijon, Abdulhamid Upao",Mid,Liberal Party,3645
Basilan,Lantawan,Councilor,"Ismael, Ummu Aiman Sulaiman",Ai-Ai,Independent,3641
Basilan,Lantawan,Councilor,"Jundam, Sittiherna Intong",Embeng,Independent,3441
Basilan,Lantawan,Councilor,"Manuel, Shehama Husin",Sheng,Liberal Party,3359
Basilan,Lantawan,Councilor,"Dansalan, Gamar Nul",Gam's,Liberal Party,3282
Basilan,Lantawan,Councilor,"Hadjirul, Anang Indanan",Hja. Anang,Liberal Party,3023
Basilan,Lantawan,Councilor,"Lazaro, Ust. Patta Siddik",Omar,Liberal Party,2954
Basilan,Lantawan,Councilor,"Omaga, Norijam Kasim",Idjam,United Nationalist Alliance,2842
Basilan,Maluso,Mayor,"Daud, Indanan Kasim",Dan,Liberal Party,6535
Basilan,Maluso,Vice-Mayor,"Daud, Sumatra Taha",Hja Sumat,Liberal Party,5833
Basilan,Maluso,Councilor,"Barang, Abbas Jr. Tahil",Bars,Independent,6034
Basilan,Maluso,Councilor,"Sonny, Melanie Jalilula",Mel,Liberal Party,4842
Basilan,Maluso,Councilor,"Tajul, Kasaral Orlan",Sir,Liberal Party,4506
Basilan,Maluso,Councilor,"Muksan, Faizal Omar",King,Liberal Party,4435
Basilan,Maluso,Councilor,"Ahmad, Ferjan Cawanan",Andan,Liberal Party,4258
Basilan,Maluso,Councilor,"Kuly, Delfin Basir",Sm,Liberal Party,4150
Basilan,Maluso,Councilor,"Irada, Liezel Ordo",Liez,Liberal Party,3886
Basilan,Maluso,Councilor,"Basa, Zia Ulhaq Muhmin",Zia,Puwersa ng Masang Pilipino,3880
Basilan,Sumisip,Mayor,"Salliman-Hataman, Gulam (Boy) Sabbihi",Boy,Liberal Party,14340
Basilan,Sumisip,Vice-Mayor,"Handang, Alex Nain",Hji. Alih,Independent,8118
Basilan,Sumisip,Councilor,"Asarul, Yahiya Amin",Khadz,Independent,7196
Basilan,Sumisip,Councilor,"Asmad, Melvin Juja",Membie,Independent,6411
Basilan,Sumisip,Councilor,"Abdulkarim, Marad Ayatal",Rhadz,Independent,6287
Basilan,Sumisip,Councilor,"Kotoh, Lasarul Pahingkat",Tarung,Independent,6055
Basilan,Sumisip,Councilor,"Idris, Kasim Hasadin",Kas,Independent,5654
Basilan,Sumisip,Councilor,"Saratal, Saib Daggong",Hadji Saib,Liberal Party,5640
Basilan,Sumisip,Councilor,"Jingkatal, Mison Dimang",Hji. Ahmad,Independent,5194
Basilan,Tabuan-Lasa,Councilor,"Alfaro, Abdurahman Hataman",Lannang,Liberal Party,5071
Basilan,Tabuan-Lasa,Mayor,"Junaid, Muctar Yunos",Pusong,Independent,3322
Basilan,Tabuan-Lasa,Vice-Mayor,"Abdulgani, Abadia Menson",Bhad`Z,Liberal Party,3261
Basilan,Tabuan-Lasa,Councilor,"Abubakar, Ahiya Kong",Radjah,Independent,3170
Basilan,Tabuan-Lasa,Councilor,"Angkibo, Abdurasan Abtuh",Ras,Liberal Party,3161
Basilan,Tabuan-Lasa,Councilor,"Jakaria, Najer Puntukan",Jojo,Liberal Party,3097
Basilan,Tabuan-Lasa,Councilor,"Harun, Sajid Abdurahman",Jid,Liberal Party,3063
Basilan,Tabuan-Lasa,Councilor,"Hasan, Nurhidaya Palentinos",Hidaya,Puwersa ng Masang Pilipino,2899
Basilan,Tabuan-Lasa,Councilor,"Abdulla, Ashier Muso",Asil,Liberal Party,2863
Basilan,Tabuan-Lasa,Councilor,"Haris, Sara Unggas",Sar's,Liberal Party,2775
Basilan,Tabuan-Lasa,Councilor,"Salim, Muhmin Muallam",Mins,Puwersa ng Masang Pilipino,2681
Basilan,Tipo-Tipo,Mayor,"Istarul, Ingatun-Lukman Gumuntul",Tong,Liberal Party,4395
Basilan,Tipo-Tipo,Vice-Mayor,"Maralil, Shuaib Babanggul",Harry,Liberal Party,4342
Basilan,Tipo-Tipo,Councilor,"Istarul, Arcam Patarasa",Arcam,Liberal Party,4725
Basilan,Tipo-Tipo,Councilor,"Abduhrahman, Nurullaji Alpha",Nanak,Liberal Party,4118
Basilan,Tipo-Tipo,Councilor,"Hayad, Haider Saliddin",Tuwan,Liberal Party,3555
Basilan,Tipo-Tipo,Councilor,"Abdulajid, Bensar Gapur",Ben,Liberal Party,3502
Basilan,Tipo-Tipo,Councilor,"Muddalan, Hashim Mande",Ballang,Lakas-Christian Muslim Democratics,3239
Basilan,Tipo-Tipo,Councilor,"Angeles, Marco Kambal",Omar,Independent,3052
Basilan,Tipo-Tipo,Councilor,"Salim, Normeen Aramil",Nor,Independent,2737
Basilan,Tipo-Tipo,Councilor,"Bisita, Alasa Ahalal",Okeh,Liberal Party,2596
Basilan,Tuburan,Mayor,"Kallahal, Durie Sahasal",Uthaimin,Liberal Party,3878
Basilan,Tuburan,Vice-Mayor,"Kalang, Husin Latip",Super,Liberal Party,3819
Basilan,Tuburan,Councilor,"Latip, Roger Calang",Rodz,Independent,3990
Basilan,Tuburan,Councilor,"Kallahal, Jhaber Sahasal",Jhabs,Liberal Party,3601
Basilan,Tuburan,Councilor,"Kallahal, Gima Gani",Mardiya,Liberal Party,3092
Basilan,Tuburan,Councilor,"Abubakar, Saibin Muin",Fhuadz,Liberal Party,2718
Basilan,Tuburan,Councilor,"Amin, Munap Cambotok",Nap,Independent,2269
Basilan,Tuburan,Councilor,"Arajaa, Adam Salain",Dhamz,Liberal Party,1550
Basilan,Tuburan,Councilor,"Bassah, Mudzni Nuruddin",Atain,Liberal Party,1276
Basilan,Tuburan,Councilor,"Abubakar, Salim Pilanduk",Ajina,Liberal Party,1109
Basilan,Ungkaya Pukan,Mayor,"Maturan, Jomar Malangkit",Jom,Liberal Party,5328
Basilan,Ungkaya Pukan,Vice-Mayor,"Barahim, Ramidz Isa",Ramz,Liberal Party,4595
Basilan,Ungkaya Pukan,Councilor,"Barahim, Beles Tagunie",Qaidar,Independent,3811
Basilan,Ungkaya Pukan,Councilor,"Asaddu, Ahmad Samputuh",Ahmaran,Liberal Party,2738
Basilan,Ungkaya Pukan,Councilor,"Fernandez, Bibie Tagunie",Bing,Liberal Party,1846
Basilan,Ungkaya Pukan,Councilor,"Nusalan, Khair Gasta",Abdulhair,Liberal Party,1457
Basilan,Ungkaya Pukan,Councilor,"Nasalal, Ansal Ubag",Ans,Independent,1431
Basilan,Ungkaya Pukan,Councilor,"Sabdain, Johnny Amilon",Aturan,Liberal Party,1411
Basilan,Ungkaya Pukan,Councilor,"Pangamdas, Mokong Balosa",Moks,Liberal Party,1387
Basilan,Ungkaya Pukan,Councilor,"Maninggil, Jerry Sarail",Jer,Liberal Party,820
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Mayor,"Dipatuan, Abdulmohaimen Lucman",Mocmoc,Liberal Party,4320
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Vice-Mayor,"Dipatuan, Diarangan Ringka",Jaffar,Liberal Party,4421
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Aloyod, Acasa Said",Ustad,Independent,3498
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Daroyodun, Oding Malangkayan",Sa-Aduddin,Liberal Party,3397
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Amanoddin, Tamim Cali",Hadji Ibrahim,Liberal Party,3278
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Tarosan, Habib Bali Ansari",Saripada,Independent,3115
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Abdulmanan, Sihabudden Ditucalan",Sihab,Liberal Party,2956
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Dumarpa, Sainola Omar",Mark,Liberal Party,2851
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Adapun, Ombra Guro",Bert,Liberal Party,2559
Lanao del Sur,Bacolod-Kalawi Bacolod Grande,Councilor,"Laguindab, Anowar Yunos",Ano,Liberal Party,2369
Lanao del Sur,Balabagan,Mayor,"Benito, Edna Ogka",Ed,Independent,2650
Lanao del Sur,Balabagan,Vice-Mayor,"Sampiano, Quirino Ragodotan",Sultan,Liberal Party,4374
Lanao del Sur,Balabagan,Councilor,"Disalongan, Abedin Inog",Bedz,Independent,5082
Lanao del Sur,Balabagan,Councilor,"Macasira, Amer Alib",Mer,Liberal Party,4687
Lanao del Sur,Balabagan,Councilor,"Disalongan, Acmad Abas",Madz,Independent,4549
Lanao del Sur,Balabagan,Councilor,"Aaron-Mangigin, Alibaser Maute",Pamen,Liberal Party,4193
Lanao del Sur,Balabagan,Councilor,"Mamenting, Mervin Sampiano",Vin,Liberal Party,4019
Lanao del Sur,Balabagan,Councilor,"Sampiano, Saripada Maneped",Ipad,Independent,3777
Lanao del Sur,Balabagan,Councilor,"Benito, Jover Ogka",Ver,Independent,3658
Lanao del Sur,Balabagan,Councilor,"Bilao, Jaime Moro",Tata,Independent,3423
Lanao del Sur,Balindong Watu,Mayor,"Bagul-Mangondato, Raysalam Mapupuno",Rai,Liberal Party,7159
Lanao del Sur,Balindong Watu,Vice-Mayor,"Manalocon, Edres Malik",Abc,Partido Demokratiko Pilipino,6223
Lanao del Sur,Balindong Watu,Councilor,"Lawi, Yasser Datumanong",Atee,Liberal Party,5718
Lanao del Sur,Balindong Watu,Councilor,"Sarip, Sadat Mangarun",Sadat,Liberal Party,5426
Lanao del Sur,Balindong Watu,Councilor,"Datu-Ramos, Khomeiny Ramos",Khim,Liberal Party,5388
Lanao del Sur,Balindong Watu,Councilor,"Ayaon, Macaayong Mamocan",Ayo,Liberal Party,5387
Lanao del Sur,Balindong Watu,Councilor,"Ali, Salic Sarip-Datu",Mayor,Liberal Party,5333
Lanao del Sur,Balindong Watu,Councilor,"Maba, Abdulmoiz Malic",Moiz,Puwesa ng Masang Pilipino,5208
Lanao del Sur,Balindong Watu,Councilor,"Mamari, Mohamad Hanif Dalidig",Popoy,Independent,4975
Lanao del Sur,Balindong Watu,Councilor,"Dansal, Ebrahim Malic",Malik,Liberal Party,4635
Lanao del Sur,Banidayan,Mayor,"Datumulok, Abdullah Dimaporo",Colaw,Liberal Party,2182
Lanao del Sur,Banidayan,Vice-Mayor,"Datumulok, Akida Abdulcarim",Kida,Independent,1677
Lanao del Sur,Banidayan,Councilor,"Mulok, Alioden Ramos",Alden,Liberal Party,1690
Lanao del Sur,Banidayan,Councilor,"Hadji Malik, Ashary Macapanton",Blah,Liberal Party,1626
Lanao del Sur,Banidayan,Councilor,"Hadjisocor, Salal Boniara",Zaldy,Independent,1620
Lanao del Sur,Banidayan,Councilor,"Mohamadali, Nadjowa Mulok",Wiwie,Liberal Party,1443
Lanao del Sur,Banidayan,Councilor,"Pagayawan, Fahad Mulok",Papay,Independent,1409
Lanao del Sur,Banidayan,Councilor,"Tabua, Lapulapu Colalo",Lapu,Liberal Party,1397
Lanao del Sur,Banidayan,Councilor,"Maruhom, Omar Saicalabe",Marlon,Independent,1269
Lanao del Sur,Banidayan,Councilor,"Gao, Macmod Candia",Mike,Liberal Party,1207
Lanao del Sur,Buadiposo-Buntong,Mayor,"Dadayan, Noron Guinar",Hayanisah,Liberal Party,7173
Lanao del Sur,Buadiposo-Buntong,Vice-Mayor,"H. Nassef, Nobairah Macarampat",Baira,Liberal Party,5188
Lanao del Sur,Buadiposo-Buntong,Councilor,"Macarampat, Alisanny Pangandag",Epik,Independent,5159
Lanao del Sur,Buadiposo-Buntong,Councilor,"Guinar, Busar Macabago",Bryan,Liberal Party,4618
Lanao del Sur,Buadiposo-Buntong,Councilor,"Abangad, Amenodin Mamaki",Mino,Liberal Party,4301
Lanao del Sur,Buadiposo-Buntong,Councilor,"Pedo, Amrodin Macacuna",Amro,Independent,3935
Lanao del Sur,Buadiposo-Buntong,Councilor,"Panantaon, Rasdy Lacs",Edy,Liberal Party,3929
Lanao del Sur,Buadiposo-Buntong,Councilor,"Baute, Moamar Islao",Amar,Independent,3703
Lanao del Sur,Buadiposo-Buntong,Councilor,"Amin, Noraida Macarasam",Minerava,Liberal Party,3630
Lanao del Sur,Buadiposo-Buntong,Councilor,"Pundato, Ombra Pamnagun",Obet,Liberal Party,3521
Lanao del Sur,Bubong,Mayor,"Munder, Alfais Tucalo",Fais,Liberal Party,5445
Lanao del Sur,Bubong,Vice-Mayor,"Salbo, Namraida Montay",Namerah,Liberal Party,3334
Lanao del Sur,Bubong,Councilor,"Bongcarawan, Masiding Abonsod",Masi,Independent,3899
Lanao del Sur,Bubong,Councilor,"Sumaguina, Baraontong Montay",Barry,Independent,3821
Lanao del Sur,Bubong,Councilor,"Maradang, Aida Rakiin",Aidz,Liberal Party,3808
Lanao del Sur,Bubong,Councilor,"Munder, Walid Baunto",Naim,Liberal Party,3757
Lanao del Sur,Bubong,Councilor,"Diamla, Labi Tocalo",Bae A Labi,Liberal Party,3747
Lanao del Sur,Bubong,Councilor,"Sarip, Ansary Limgas",Rex,Partido Demokratiko Pilipino,3646
Lanao del Sur,Bubong,Councilor,"Cali, Ali Ananggo",Alex,Independent,3530
Lanao del Sur,Bubong,Councilor,"Mamadra, Abdulwahab Alonto",Wowie,Independent,3450
Lanao del Sur,Bumbaran,Mayor,"Manabilang, Jamal Eclar",James,Partido Demokratiko Pilipino,4039
Lanao del Sur,Bumbaran,Vice-Mayor,"Manabilang, Mastura Cosain",Mas,Liberal Party,4037
Lanao del Sur,Bumbaran,Councilor,"Manabilang, Saidamen Eclar",Saidi,Liberal Party,3831
Lanao del Sur,Bumbaran,Councilor,"Abuso, Alexander Escalona",Sandy,Liberal Party,2952
Lanao del Sur,Bumbaran,Councilor,"Dimaocor, Haroun Musa",Donky,Liberal Party,2834
Lanao del Sur,Bumbaran,Councilor,"Malang, Alex Samboangan",Lex,Liberal Party,2671
Lanao del Sur,Bumbaran,Councilor,"Disinon, Caironisah Pacasum",Cory,Liberal Party,2015
Lanao del Sur,Bumbaran,Councilor,"Pangcoga, Noronsalam Guina",Aisah,Liberal Party,1925
Lanao del Sur,Bumbaran,Councilor,"Pangcoga, Caya Omat",Caya,Liberal Party,1875
Lanao del Sur,Bumbaran,Councilor,"Sultan, Fatima Ampuan",Fati,Liberal Party,1653
Lanao del Sur,Butig,Mayor,"Macadato, Ibrahim Mitoon",Komelek,Independent,1754
Lanao del Sur,Butig,Vice-Mayor,"Kiram, Monabantog Diamaoden",Saidona,Independent,1988
Lanao del Sur,Butig,Councilor,"Ali, Yaacob Bala",Ustadj,Liberal Party,1888
Lanao del Sur,Butig,Councilor,"Mindalano, Amer Jr. Diamaoden",Junpanondi,Independent,1409
Lanao del Sur,Butig,Councilor,"Bao, Nasroden Sinar",Nanding,Independent,1328
Lanao del Sur,Butig,Councilor,"Mamailao, Jalil Bandera",Jalil,Independent,1285
Lanao del Sur,Butig,Councilor,"Caderan, Calimen Cali",Cali-Lintad,Liberal Party,1247
Lanao del Sur,Butig,Councilor,"Mama, Macalawan Pansar",Bario,Liberal Party,1218
Lanao del Sur,Butig,Councilor,"Capia, Abdulrahman Sahraman Gunda Amintao",Sheik,Independent,1214
Lanao del Sur,Butig,Councilor,"Esmail, Macakiling Pagonguan Pinagundo",Oic,Independent,1161
Lanao del Sur,Calanogas,Mayor,"Benito, Macapado Sr. Marohom",Abdulgafor,Liberal Party,4892
Lanao del Sur,Calanogas,Vice-Mayor,"Benito-Padate, Raquemah Aguam",Let-Let,Liberal Party,4888
Lanao del Sur,Calanogas,Councilor,"Benito, Macapado Jr. Aguam",Mac-Mac,Liberal Party,4794
Lanao del Sur,Calanogas,Councilor,"Benito, Yalla Macapeges",Yal,Liberal Party,3054
Lanao del Sur,Calanogas,Councilor,"Dari, Macmod Marohom",Mac,Liberal Party,2756
Lanao del Sur,Calanogas,Councilor,"Disimban, Bamer Macapodi",Jamal,Liberal Party,2691
Lanao del Sur,Calanogas,Councilor,"Bascara, Saiba Tauday",Eva,Liberal Party,2551
Lanao del Sur,Calanogas,Councilor,"Balindong, Bubong Macarampat",Bong,Liberal Party,2480
Lanao del Sur,Calanogas,Councilor,"Tambidan, Jalilah Paramata",Lilah,Liberal Party,2301
Lanao del Sur,Calanogas,Councilor,"Abdulcader, Bainora Laguindab",Baie,Liberal Party,2223
Lanao del Sur,Ditsaan-Ramain,Mayor,"Adiong, Ali Untao",Papang,Independent,5909
Lanao del Sur,Ditsaan-Ramain,Vice-Mayor,"Macarampat, Anna-Mahlyne Abedin",Annie,Liberal Party,6986
Lanao del Sur,Ditsaan-Ramain,Councilor,"Guilla, Wahid Dida-Agun",Wahid,Liberal Party,5219
Lanao del Sur,Ditsaan-Ramain,Councilor,"Macarampat, Mohaimen  Mackay Barodi",Mackay,Independent,4638
Lanao del Sur,Ditsaan-Ramain,Councilor,"Bubong, Nasser Pangadapun",Nasco,Liberal Party,4299
Lanao del Sur,Ditsaan-Ramain,Councilor,"Alangadi, Al-Ekhzanman Mamacol",Mikmik,Independent,4149
Lanao del Sur,Ditsaan-Ramain,Councilor,"Malawani, Naguib Jr. Malawani",Jay-Ar,Liberal Party,4008
Lanao del Sur,Ditsaan-Ramain,Councilor,"Ampuan, Ashary Toroganan",Asgar,Liberal Party,3975
Lanao del Sur,Ditsaan-Ramain,Councilor,"Hadji Ali, Nasser Barco",Bario,Liberal Party,3964
Lanao del Sur,Ditsaan-Ramain,Councilor,"Salic, Coraib Dimangun",Rey,Partido Demokratiko Pilipino,3693
Lanao del Sur,Ginassi,Mayor,"Macapodi, Al-Rashid Boloto, Macabangon Amerol",Rashdi,Liberal Party,4175
Lanao del Sur,Ginassi,Vice-Mayor,"Macapodi, Baguio Amerol",Bobby,Liberal Party,4107
Lanao del Sur,Ginassi,Councilor,"Balindong, Amer Hamza Balindong",Hamza,Independent,3374
Lanao del Sur,Ginassi,Councilor,"Ali, Haron Marandacan",Haron,Liberal Party,3268
Lanao del Sur,Ginassi,Councilor,"Macapodi, Raihanie Pagadilan",Bkie,Liberal Party,2913
Lanao del Sur,Ginassi,Councilor,"Abraham, Ashia Macabangon",Ash,Liberal Party,2774
Lanao del Sur,Ginassi,Councilor,"Marohombsar, Ansary Asira",Toks,Independent,2753
Lanao del Sur,Ginassi,Councilor,"Amerol, Saipoden Ampaso",Ipo,Liberal Party,2603
Lanao del Sur,Ginassi,Councilor,"Paramata, Aliola Macabangon",Loba,Liberal Party,2543
Lanao del Sur,Ginassi,Councilor,"Mangondaya, Basarie Polao",Basco,Liberal Party,2483
